"filename", "language", "C", "C++", "comment", "blank", "total"
"/Users/zaahir/Documents/c/d/d/chunk.c", "C", 39, 0, 0, 9, 48
"/Users/zaahir/Documents/c/d/d/chunk.h", "C++", 0, 72, 0, 7, 79
"/Users/zaahir/Documents/c/d/d/chunk_test.c", "C", 73, 0, 0, 14, 87
"/Users/zaahir/Documents/c/d/d/clock_bench.c", "C", 17, 0, 0, 6, 23
"/Users/zaahir/Documents/c/d/d/common.h", "C++", 0, 11, 0, 6, 17
"/Users/zaahir/Documents/c/d/d/compiler.c", "C", 1006, 0, 26, 190, 1222
"/Users/zaahir/Documents/c/d/d/compiler.h", "C++", 0, 11, 0, 6, 17
"/Users/zaahir/Documents/c/d/d/compiler_test.c", "C", 1756, 0, 0, 71, 1827
"/Users/zaahir/Documents/c/d/d/debug.c", "C", 175, 0, 0, 15, 190
"/Users/zaahir/Documents/c/d/d/debug.h", "C++", 0, 8, 0, 5, 13
"/Users/zaahir/Documents/c/d/d/debug_test.c", "C", 522, 0, 2, 132, 656
"/Users/zaahir/Documents/c/d/d/fib_bench.c", "C", 17, 0, 0, 6, 23
"/Users/zaahir/Documents/c/d/d/gc.c", "C", 37, 0, 0, 11, 48
"/Users/zaahir/Documents/c/d/d/gc.h", "C++", 0, 26, 0, 9, 35
"/Users/zaahir/Documents/c/d/d/interpret_test.c", "C", 986, 0, 1, 140, 1127
"/Users/zaahir/Documents/c/d/d/linenoise.c", "C", 851, 0, 296, 125, 1272
"/Users/zaahir/Documents/c/d/d/linenoise.h", "C++", 0, 31, 37, 8, 76
"/Users/zaahir/Documents/c/d/d/list.h", "C++", 0, 10, 4, 4, 18
"/Users/zaahir/Documents/c/d/d/loop_math_bench.c", "C", 18, 0, 0, 6, 24
"/Users/zaahir/Documents/c/d/d/main.c", "C", 199, 0, 1, 30, 230
"/Users/zaahir/Documents/c/d/d/membuf.c", "C", 9, 0, 0, 4, 13
"/Users/zaahir/Documents/c/d/d/membuf.h", "C++", 0, 12, 1, 5, 18
"/Users/zaahir/Documents/c/d/d/memory.c", "C", 229, 0, 15, 28, 272
"/Users/zaahir/Documents/c/d/d/memory.h", "C++", 0, 22, 0, 10, 32
"/Users/zaahir/Documents/c/d/d/obj_native.h", "C++", 0, 14, 2, 7, 23
"/Users/zaahir/Documents/c/d/d/object.c", "C", 186, 0, 3, 28, 217
"/Users/zaahir/Documents/c/d/d/object.h", "C++", 0, 109, 2, 20, 131
"/Users/zaahir/Documents/c/d/d/scanner.c", "C", 201, 0, 4, 31, 236
"/Users/zaahir/Documents/c/d/d/scanner.h", "C++", 0, 64, 4, 8, 76
"/Users/zaahir/Documents/c/d/d/scanner_test.c", "C", 174, 0, 0, 34, 208
"/Users/zaahir/Documents/c/d/d/string_bench.c", "C", 170, 0, 0, 8, 178
"/Users/zaahir/Documents/c/d/d/table.c", "C", 160, 0, 8, 31, 199
"/Users/zaahir/Documents/c/d/d/table.h", "C++", 0, 29, 0, 7, 36
"/Users/zaahir/Documents/c/d/d/table_bench.c", "C", 55, 0, 0, 18, 73
"/Users/zaahir/Documents/c/d/d/table_test.c", "C", 160, 0, 12, 43, 215
"/Users/zaahir/Documents/c/d/d/ubench.h", "C++", 0, 596, 108, 120, 824
"/Users/zaahir/Documents/c/d/d/utest.h", "C++", 0, 1159, 120, 153, 1432
"/Users/zaahir/Documents/c/d/d/value.c", "C", 102, 0, 0, 13, 115
"/Users/zaahir/Documents/c/d/d/value.h", "C++", 0, 129, 4, 26, 159
"/Users/zaahir/Documents/c/d/d/value_test.c", "C", 248, 0, 0, 61, 309
"/Users/zaahir/Documents/c/d/d/vm.c", "C", 1367, 0, 8, 114, 1489
"/Users/zaahir/Documents/c/d/d/vm.h", "C++", 0, 48, 0, 14, 62
"/Users/zaahir/Documents/c/d/d/vm_test.c", "C", 1736, 0, 334, 160, 2230
"/Users/zaahir/Documents/c/d/d/zoo_bench.c", "C", 43, 0, 0, 6, 49
"Total", "-", 10536, 2351, 992, 1749, 15628